url	download_complete
www.ics.uci.edu/ugrad	complete
www.ics.uci.edu/~mjcarey	complete
www.ics.uci.edu/policies/CS199_IN4MATX199.php	complete
ngs.ics.uci.edu	complete
www.ics.uci.edu/community/events/openhouse/gallery_09.html	complete
www.ics.uci.edu/community/events/openhouse/gallery_11.html	complete
www.ics.uci.edu/ugrad/index.php	complete
www.ics.uci.edu/involved/leadership_council	complete
emj.ics.uci.edu/teaching	complete
www.ics.uci.edu/MJCarey_Prior_Research_Funding.html	complete
www.ics.uci.edu/community/news/view_news?id=1235	complete
emj.ics.uci.edu/papers/vision-and-image-analysis-papers	complete
honors.ics.uci.edu/graduate-school-resources	complete
ngs.ics.uci.edu/entrepreneurship/current-companies	complete
www.ics.uci.edu/community/news/view_news?id=1288	incomplete
www.ics.uci.edu/community/events/openhouse/gift.html	complete
www.ics.uci.edu/policies/index.php	complete
futurehealth.ics.uci.edu/resources	complete
ngs.ics.uci.edu/teaching/current-courses	complete
emj.ics.uci.edu/talks/talks-computational-biology	complete
ngs.ics.uci.edu/professionalsocial/recognitions	complete
emj.ics.uci.edu/i-htm	complete
www.ics.uci.edu/research/device%20attachment.html	complete
hombao.ics.uci.edu?s=upcoming	complete
www.ics.uci.edu/grad/policies/GradPolicies_Grading.php	complete
mcs.ics.uci.edu/advisory-board	complete
www.ics.uci.edu/community/news/view_news?id=1283	incomplete
ugradforms.ics.uci.edu	complete
www.ics.uci.edu/about/about_safety.php	complete
www.ics.uci.edu/~sbaidya	complete
www.ics.uci.edu/community/news/view_news?id=1249	complete
www.ics.uci.edu/community/news/view_news?id=1248	complete
ngs.ics.uci.edu/entrepreneurship/past-companies	complete
www.ics.uci.edu/community/news/view_news?id=1245	complete
www.ics.uci.edu/community/news/view_news?id=1244	complete
www.ics.uci.edu/community/news/view_news?id=1247	complete
www.ics.uci.edu/community/news/view_news?id=1246	complete
www.ics.uci.edu/community/news/view_news?id=1241	complete
www.ics.uci.edu/community/news/view_news?id=1240	complete
www.ics.uci.edu/community/news/view_news?id=1243	complete
www.ics.uci.edu/community/news/view_news?id=1242	complete
ngs.ics.uci.edu/professionalsocial	complete
emj.ics.uci.edu/papers/calculational-papers	complete
www.ics.uci.edu/community/news/view_news?id=1286	incomplete
www.ics.uci.edu/ugrad/degrees/Minors	complete
www.ics.uci.edu/community/news/articles/view_article?id=75	complete
www.ics.uci.edu/policies/Withdrawal_Readmission.php	complete
www.ics.uci.edu/ugrad/resources/index.php	complete
www.ics.uci.edu/community/news/view_news?id=1238	complete
www.ics.uci.edu/community/news/view_news?id=1239	complete
www.ics.uci.edu/community/news/view_news?id=1230	complete
emj.ics.uci.edu/topics	complete
www.ics.uci.edu/community/news/view_news?id=1232	complete
www.ics.uci.edu/community/news/view_news?id=1233	complete
www.ics.uci.edu/community/news/view_news?id=1234	complete
www.ics.uci.edu/community/news/view_news.php?id=1321	complete
www.ics.uci.edu/community/news/view_news?id=1236	complete
www.ics.uci.edu/community/news/view_news.php?id=1323	complete
mcs.ics.uci.edu/current-students/resources	complete
www.ics.uci.edu/community/events/openhouse/school.html	complete
www.ics.uci.edu/sao/SAO_Events.php	complete
mcs.ics.uci.edu/contact-us/staff	complete
www.ics.uci.edu/ugrad/policies/Laptop_ComputerUse.php	complete
www.ics.uci.edu/ugrad/sao/index.php	complete
ngs.ics.uci.edu/teacher	complete
www.ics.uci.edu/degrees/Double_Majors.php	complete
mcs.ics.uci.edu/about/course-descriptions	complete
www.ics.uci.edu/ugrad/policies/Grade_Options	complete
www.ics.uci.edu/grad	complete
www.ics.uci.edu/degrees/Second_BA.php	complete
hombao.ics.uci.edu	complete
mcs.ics.uci.edu	complete
www.ics.uci.edu/%7Edjr/DebraJRichardson/SE4S.html	complete
www.ics.uci.edu/research/universal%20service.html	complete
www.ics.uci.edu/ugrad/policies/Withdrawal_Readmission.php	complete
www.ics.uci.edu/grad/admissions/index	complete
mcs.ics.uci.edu/current-students/resources/policies	complete
www.ics.uci.edu/ugrad/policies/Academic_Standing	complete
www.ics.uci.edu/ugrad/courses/index	complete
www.ics.uci.edu/faculty/highlights	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentLife_nonTechOpps.php	complete
hombao.ics.uci.edu?s=news_and_events	complete
www.ics.uci.edu/ugrad/resources/ICS_StudentOrgs.php	complete
www.ics.uci.edu/research/tiers.html	complete
www.ics.uci.edu/community/news/view_news?id=1252	incomplete
hombao.ics.uci.edu?s=research	complete
www.ics.uci.edu/courses/index.php	complete
futurehealth.ics.uci.edu/resources/knowledge-repository	complete
www.ics.uci.edu/grad/policies/GradPolicies_CommitteeMembers.php	complete
futurehealth.ics.uci.edu	complete
www.ics.uci.edu/community/news/view_news?id=1164	incomplete
www.ics.uci.edu/grad/policies/GradPolicies_SexualHarassment.php	incomplete
